label,source_report,source_section,trade_date,symbol,venue_or_market_center,participant_type_code,participant_identifier,side,earliest_order_received_time,latest_order_received_time,order_count,total_order_quantity,activity_description,matched_negative_group_id,session_bucket,source_row_id
positive_spoofing_layering,"CFTC Complaint: CFTC v. Daniel Lawrence Shak, Case 2:22-cv-01258, Document 1","Paragraphs 79-85, Example 5, January 22 2018 March 2018 Silver",2018-01-22,March 2018 Silver futures,COMEX,CFTC defendant trader,Daniel Lawrence Shak,buy spoof orders opposite sell genuine order,05:17:44.407 America/Chicago,05:18:20.286 America/Chicago,six spoof orders,300 lots,"CFTC complaint describes six buy-side spoof orders opposite a one-lot genuine sell order, canceled quickly after the genuine order filled.",cftc_shak_20180122_si_example5,overnight_central_time,cftc_shak_20180122_silver_buy_spoof_group
positive_spoofing_layering,"CFTC Complaint: CFTC v. Daniel Lawrence Shak, Case 2:22-cv-01258, Document 1","Paragraphs 86-90, Example 6 first sequence, February 21 2018 March 2018 Silver",2018-02-21,March 2018 Silver futures,COMEX,CFTC defendant trader,Daniel Lawrence Shak,sell spoof orders opposite buy genuine order,03:19:39.023 America/Chicago,03:20:06.537 America/Chicago,six spoof orders,250 lots,"CFTC complaint describes six sell-side spoof orders opposite a three-lot genuine buy order, canceled after the genuine order filled.",cftc_shak_20180221_si_example6_buy,overnight_central_time,cftc_shak_20180221_silver_sell_spoof_group
positive_spoofing_layering,"CFTC Complaint: CFTC v. Daniel Lawrence Shak, Case 2:22-cv-01258, Document 1","Paragraphs 91-96, Example 6 second sequence, February 21 2018 March 2018 Silver",2018-02-21,March 2018 Silver futures,COMEX,CFTC defendant trader,Daniel Lawrence Shak,buy spoof orders opposite sell genuine order,03:21:59.867 America/Chicago,03:22:57.819 America/Chicago,seven spoof orders,350 lots,"CFTC complaint describes seven buy-side spoof orders opposite a three-lot genuine sell order, canceled after the genuine order filled.",cftc_shak_20180221_si_example6_sell,overnight_central_time,cftc_shak_20180221_silver_buy_spoof_group
positive_spoofing_layering,"CFTC Complaint: CFTC v. Daniel Lawrence Shak, Case 2:22-cv-01258, Document 1","Paragraphs 98-102, Example 7, February 26 2018 March 2018 Silver",2018-02-26,March 2018 Silver futures,COMEX,CFTC defendant trader,Daniel Lawrence Shak,sell spoof orders opposite buy genuine iceberg order,13:43:38.337 America/Chicago,13:44:24.297 America/Chicago,seven spoof orders,235 lots,"CFTC complaint describes seven sell-side spoof orders opposite a ten-lot buy iceberg order, canceled after the genuine order filled.",cftc_shak_20180226_si_example7,regular_us_central_time,cftc_shak_20180226_silver_sell_spoof_group
positive_spoofing_layering,"CFTC Order: In re Geneva Trading USA, LLC, CFTC No. 18-25","Facts paragraph, April 24 2013 RBOB gasoline example",2013-04-24,RBOB gasoline futures,CME Group registered futures market (source order),CFTC respondent trader; public administrative order,Geneva Trader A,buy spoof orders opposite sell genuine order,source_relative_five_second_window,about 300 milliseconds before spoof cancellation,multiple spoof orders,over 40 lots,"Official CFTC order states Trader A placed multiple buy spoof orders totaling over forty lots in RBOB gasoline futures, at price levels 1-4, while using a two-lot sell genuine order that immediately filled; spoof orders were then canceled.",cftc_geneva_20130424_rbob_example,source_time_not_stated,cftc_geneva_20130424_rbob_buy_spoof_orders
positive_spoofing_layering,"CFTC Order: In re Geneva Trading USA, LLC, CFTC No. 18-25","Facts paragraph, May 21 2013 light sweet crude oil example",2013-05-21,light sweet crude oil futures,CME Group registered futures market (source order),CFTC respondent trader; public administrative order,Geneva Trader B,sell spoof order opposite buy genuine order,source_relative_before_genuine_order,about 200 milliseconds after genuine order execution,one spoof order,200 lots,"Official CFTC order states Trader B placed a 200-lot sell spoof order in light sweet crude oil futures, placed a 15-lot buy genuine order about 400 milliseconds later, and canceled the spoof order about 200 milliseconds after the genuine order executed.",cftc_geneva_20130521_crude_example,source_time_not_stated,cftc_geneva_20130521_crude_sell_spoof_order
positive_spoofing_layering,"CFTC Order: In re Geneva Trading USA, LLC, CFTC No. 18-25","Facts paragraph, September 1 2015 Soft Red Winter wheat example",2015-09-01,Soft Red Winter wheat futures,CME Group registered futures market (source order),CFTC respondent trader; public administrative order,Geneva Trader C,buy spoof orders opposite sell genuine order,about five minutes after sell genuine order,about six seconds after genuine order fill,15 spoof orders,75 lots,"Official CFTC order states Trader C placed a five-lot sell genuine order, then placed fifteen five-lot buy spoof orders totaling 75 lots over four seconds; the genuine order filled two milliseconds after the last spoof order, and the spoof orders were modified away then canceled.",cftc_geneva_20150901_wheat_example,source_time_not_stated,cftc_geneva_20150901_wheat_buy_spoof_orders
positive_spoofing_layering,"CFTC Complaint: CFTC v. Jiongsheng Zhao, No. 1:18-cv-00620","Paragraph 36, Event Example 1: April 15 2013",2013-04-15,E-mini S&P 500 futures,CME Globex,CFTC respondent trader; federal complaint,Jiongsheng Zhao,buy spoof orders opposite sell genuine order,01:11:25.537 America/Chicago,01:11:34.161 America/Chicago,two buy spoof orders,322 contracts,"CFTC complaint describes Zhao placing 151-contract and 171-contract buy spoof orders at the best-bid level after a one-contract sell genuine order; the genuine order executed after the second spoof order, then the second spoof order was canceled within 798 milliseconds.",cftc_zhao_20130415_es_example,overnight_central_time,cftc_zhao_20130415_es_buy_spoof_orders
positive_spoofing_layering,"CFTC Complaint: CFTC v. Jiongsheng Zhao, No. 1:18-cv-00620","Paragraph 37, Event Example 2: March 5 2014",2014-03-05,E-mini S&P 500 futures,CME Globex,CFTC respondent trader; federal complaint,Jiongsheng Zhao,sell spoof order opposite buy genuine order,22:44:15.720 America/Chicago,22:44:16.394 America/Chicago,one sell spoof order,201 contracts,CFTC complaint describes Zhao placing a 201-contract sell spoof order at the best-ask level three seconds after a one-contract buy genuine order; the spoof order was canceled after 674 milliseconds and the genuine order later canceled unfilled.,cftc_zhao_20140305_es_example,overnight_central_time,cftc_zhao_20140305_es_sell_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. Jiongsheng Zhao, No. 1:18-cv-00620","Paragraph 38, Event Example 3: March 21 2016",2016-03-21,E-mini S&P 500 futures,CME Globex,CFTC respondent trader; federal complaint,Jiongsheng Zhao,buy spoof order opposite sell genuine order,07:31:33.645 America/Chicago,07:31:34.389 America/Chicago,one buy spoof order,82 contracts,"CFTC complaint describes Zhao placing an 82-contract buy spoof order at the best-bid level after an 11-contract sell genuine order; the genuine order executed almost immediately, and Zhao canceled the spoof order 744 milliseconds after placing it.",cftc_zhao_20160321_es_example,overnight_central_time,cftc_zhao_20160321_es_buy_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. David Skudder et al., No. 1:22-cv-01925","Paragraph 55, Spoof Event Example 1: August 31 2017",2017-08-31,CBOT soybean futures,CBOT/CME Globex,CFTC respondent trader; federal complaint,David Skudder / Global Ag / Nesvick,buy spoof order opposite sell genuine iceberg order,11:15:21.655 America/Chicago,11:15:46.217 America/Chicago,one buy spoof order,100 soybean futures contracts,CFTC complaint describes a 100-contract fully visible buy spoof order at 943.5 cents per bushel after a 30-contract sell iceberg genuine order at 945; the genuine order filled and the spoof order was canceled.,cftc_skudder_20170831_soybean_futures_example,daytime_central_time,cftc_skudder_20170831_soybean_buy_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. David Skudder et al., No. 1:22-cv-01925","Paragraph 56, Spoof Event Example 2: December 5 2017",2017-12-05,CBOT soybean futures,CBOT/CME Globex,CFTC respondent trader; federal complaint,David Skudder / Global Ag / Nesvick,buy spoof order opposite sell genuine iceberg order,08:48:37.041 America/Chicago,08:49:01.603 America/Chicago,one buy spoof order,500 soybean futures contracts,CFTC complaint describes a 500-contract fully visible buy spoof order at 1010.25 cents per bushel near Skudder's genuine sell iceberg orders; the 1012.5-cent genuine order began trading nine seconds later and fully filled before the spoof order was canceled.,cftc_skudder_20171205_soybean_futures_example,daytime_central_time,cftc_skudder_20171205_soybean_buy_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. David Skudder et al., No. 1:22-cv-01925","Paragraph 57, Spoof Event Example 3: July 1 2016",2016-07-01,CBOT soybean futures,CBOT/CME Globex,CFTC respondent trader; federal complaint,David Skudder / Global Ag / Nesvick,sell soybean futures spoof order benefiting buy soybean call options,11:29:14.696 America/Chicago,11:29:17.309 America/Chicago,one sell futures spoof order,100 soybean futures contracts,CFTC complaint describes Skudder placing a 100-contract sell soybean futures spoof order at 1167.25 cents per bushel while two ten-contract soybean call option buy genuine orders were resting; the options filled one millisecond later and the futures spoof order was canceled less than three seconds later.,cftc_skudder_20160701_soybean_options_cross_market_example,daytime_central_time,cftc_skudder_20160701_soybean_futures_sell_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. David Skudder et al., No. 1:22-cv-01925","Paragraph 58, Spoof Event Example 4: July 11 2016",2016-07-11,CBOT soybean futures,CBOT/CME Globex,CFTC respondent trader; federal complaint,David Skudder / Global Ag / Nesvick,sell soybean futures spoof order benefiting buy soybean call options,10:35:58.647 America/Chicago,10:36:09.541 America/Chicago,one sell futures spoof order modified twice then canceled,100 soybean futures contracts,"CFTC complaint describes Skudder placing a 100-contract sell soybean futures spoof order while a two-contract soybean call option buy genuine order was resting; after the option filled, he modified the spoof order away from the market twice and then canceled it.",cftc_skudder_20160711_soybean_options_cross_market_example,daytime_central_time,cftc_skudder_20160711_soybean_futures_sell_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. Andre Flotron, Case 3:18-cv-00158","Complaint paragraph 30, August 29 2008 December-delivery Gold Futures example",2008-08-29,December-delivery Gold Futures,COMEX/CME Globex,CFTC defendant trader; Bank A precious metals desk,Andre Flotron / Bank A,sell spoof order opposite buy genuine orders,about 13:10:25.536 Eastern Time,about two seconds after the final 5-lot buy fill,one spoof order,44 lots,Official CFTC complaint describes a 44-lot sell spoof order opposite a seven-lot buy genuine order and follow-on small buy genuine orders; the spoof order was canceled after the genuine orders filled.,cftc_flotron_20080829_gold_example,regular_eastern_time,cftc_flotron_20080829_gold_sell_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. Andre Flotron, Case 3:18-cv-00158","Complaint paragraph 31, October 9 2008 Trader A December-delivery Gold Futures example",2008-10-09,December-delivery Gold Futures,COMEX/CME Globex,Bank A subordinate trader described in official CFTC complaint,Trader A / Bank A,buy spoof orders opposite sell genuine orders,08:49:18.528 Eastern Time,08:52:02.264 Eastern Time,two spoof orders,60 lots total,"Official CFTC complaint describes Trader A entering 40-lot and 20-lot buy spoof orders opposite sell genuine orders, then canceling both spoof orders after sell orders filled.",cftc_flotron_trader_a_20081009_gold_example,regular_eastern_time,cftc_flotron_trader_a_20081009_gold_buy_spoof_orders
positive_spoofing_layering,"CFTC Complaint: CFTC v. Andre Flotron, Case 3:18-cv-00158","Complaint paragraphs 33-37, September 6 2011 December-delivery Gold Futures example",2011-09-06,December-delivery Gold Futures,COMEX/CME Globex,CFTC defendant trader; Bank A precious metals desk,Andre Flotron / Bank A,sell spoof order opposite buy genuine orders,05:06:35.057 Eastern Time,05:06:43.251 Eastern Time,one spoof order,33 lots,"Official CFTC complaint describes a 33-lot sell spoof order three ticks from the best offer opposite two one-lot buy orders and fourteen additional one-lot buy genuine orders, followed by full cancellation.",cftc_flotron_20110906_gold_example,overnight_eastern_time,cftc_flotron_20110906_gold_sell_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. Andre Flotron, Case 3:18-cv-00158","Complaint paragraphs 38-43, June 28 2012 August-delivery Gold Futures example",2012-06-28,August-delivery Gold Futures,COMEX/CME Globex,CFTC defendant trader; Bank A precious metals desk,Andre Flotron / Bank A,sell spoof order opposite buy genuine orders,13:26:42.415 Eastern Time,13:26:53.313 Eastern Time,one spoof order,55 lots,Official CFTC complaint describes a 55-lot sell spoof order two ticks from the best offer opposite two pending buy genuine orders and additional small buy orders; the spoof order was fully canceled.,cftc_flotron_20120628_gold_example,regular_eastern_time,cftc_flotron_20120628_gold_sell_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. Andre Flotron, Case 3:18-cv-00158","Complaint paragraphs 44-50, February 15 2013 March-delivery Silver Futures example",2013-02-15,March-delivery Silver Futures,COMEX/CME Globex,CFTC defendant trader; Bank A precious metals desk,Andre Flotron / Bank A,sell spoof order opposite buy genuine orders,over four seconds after 05:59:28.544 Eastern Time,less than two seconds after fourth additional one-lot buy fill,one spoof order,55 lots,"Official CFTC complaint describes a 55-lot sell spoof order one tick from the best offer, increasing visible sell-side volume by almost 50 percent, opposite one-lot buy genuine orders.",cftc_flotron_20130215_silver_example,overnight_eastern_time,cftc_flotron_20130215_silver_sell_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. Andre Flotron, Case 3:18-cv-00158","Complaint paragraphs 51-60, July 1 2013 August-delivery Gold Futures example",2013-07-01,August-delivery Gold Futures,COMEX/CME Globex,CFTC defendant trader; Bank A precious metals desk,Andre Flotron / Bank A,buy spoof order opposite sell genuine orders,10:11:23.173 Eastern Time,less than one second after 10:11:54.543 Eastern Time,one spoof order,111 lots,Official CFTC complaint describes a 111-lot buy spoof order three ticks below best bid opposite a pending one-lot sell genuine order; the order was canceled as price approached.,cftc_flotron_20130701_gold_example,regular_eastern_time,cftc_flotron_20130701_gold_buy_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. Andre Flotron, Case 3:18-cv-00158","Complaint paragraphs 61-68, October 14 2013 December-delivery Gold Futures example",2013-10-14,December-delivery Gold Futures,COMEX/CME Globex,CFTC defendant trader; Bank A precious metals desk,Andre Flotron / Bank A,sell spoof order opposite buy genuine orders,08:26:48.474 Eastern Time,less than four-tenths of a second after 08:26:52.720 Eastern Time,one spoof order,55 lots,"Official CFTC complaint describes a 55-lot sell spoof order two ticks from the best offer opposite a five-lot buy genuine order and follow-on buy genuine orders, then canceled as price moved back toward the spoof.",cftc_flotron_20131014_gold_example,regular_eastern_time,cftc_flotron_20131014_gold_sell_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. Andre Flotron, Case 3:18-cv-00158","Complaint paragraphs 69-71, October 17 2013 first December-delivery Gold Futures sequence",2013-10-17,December-delivery Gold Futures,COMEX/CME Globex,CFTC defendant trader; Bank A precious metals desk,Andre Flotron / Bank A,sell spoof order opposite buy genuine orders,11:13:35.407 Eastern Time,about ten seconds after 11:13:35.407 Eastern Time,one spoof order,55 lots,"Official CFTC complaint describes a 55-lot sell spoof order one tick from the best offer, followed by one-lot buy genuine orders that filled, then full cancellation of the spoof order.",cftc_flotron_20131017_gold_first_sequence,regular_eastern_time,cftc_flotron_20131017_gold_first_sell_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. Andre Flotron, Case 3:18-cv-00158","Complaint paragraphs 72-79, October 17 2013 second December-delivery Gold Futures sequence",2013-10-17,December-delivery Gold Futures,COMEX/CME Globex,CFTC defendant trader; Bank A precious metals desk,Andre Flotron / Bank A,sell spoof order opposite buy genuine orders,over four seconds after 11:13:55.778 Eastern Time,11:14:31.086 Eastern Time,one spoof order with one price modification,77 lots,"Official CFTC complaint describes a 77-lot sell spoof order that increased visible sell-side volume by over 60 percent, helped fill seven one-lot buy genuine orders, and was canceled in its entirety.",cftc_flotron_20131017_gold_second_sequence,regular_eastern_time,cftc_flotron_20131017_gold_second_sell_spoof_order
positive_spoofing_layering,"CFTC Complaint: CFTC v. Andre Flotron, Case 3:18-cv-00158","Complaint paragraphs 80-85, October 17 2013 third December-delivery Gold Futures sequence",2013-10-17,December-delivery Gold Futures,COMEX/CME Globex,CFTC defendant trader; Bank A precious metals desk,Andre Flotron / Bank A,sell spoof order opposite buy genuine orders,11:15:37.060 Eastern Time,about one second after price moved to 1319.20,one spoof order with two price modifications,99 lots,"Official CFTC complaint describes a 99-lot sell spoof order that more than doubled visible sell-side volume, was modified down twice while one-lot buy genuine orders filled, and was canceled as price approached.",cftc_flotron_20131017_gold_third_sequence,regular_eastern_time,cftc_flotron_20131017_gold_third_sell_spoof_order
positive_spoofing_layering,"CFTC Complaint: James Vorley and Cedric Chanu, Case 1:18-cv-00603","Paragraph 38, January 6 2012 Gold Futures example",2012-01-06,COMEX Gold Futures,COMEX/CME Globex,CFTC defendants/desk trader; public complaint,Cedric Chanu / Trader A (Bank A desk),buy spoof orders opposite sell genuine iceberg order,01:59:18.668 source-local/Globex timestamp,less than 5 seconds after 01:59:18.668 source-local/Globex timestamp,9 spoof orders,130 lots,Official CFTC complaint describes nine buy spoof orders totaling 130 lots opposite Trader A's stalled sell genuine iceberg order; all spoof orders were cancelled in less than five seconds.,cftc_vorley_chanu_20120106_gold_example,overnight_source_time,cftc_vorley_chanu_20120106_gold_buy_spoof_orders
positive_spoofing_layering,"CFTC Complaint: James Vorley and Cedric Chanu, Case 1:18-cv-00603","Paragraph 39, June 6 2012 Gold Futures example",2012-06-06,COMEX Gold Futures,COMEX/CME Globex,CFTC defendants/desk trader; public complaint,Cedric Chanu / James Vorley (Bank A desk),buy spoof orders opposite sell genuine iceberg order,01:27:09.320 source-local/Globex timestamp,within 5 seconds of each spoof order placement,8 spoof orders,80 lots,Official CFTC complaint describes eight buy spoof orders of ten lots each while Vorley's sell genuine iceberg order was stalled; spoof orders were placed and cancelled within five seconds.,cftc_vorley_chanu_20120606_gold_example,overnight_source_time,cftc_vorley_chanu_20120606_gold_buy_spoof_orders
positive_spoofing_layering,"CFTC Complaint: James Vorley and Cedric Chanu, Case 1:18-cv-00603","Paragraphs 40-44, January 28 2013 Gold Futures example",2013-01-28,COMEX Gold Futures,COMEX/CME Globex,CFTC defendants/desk trader; public complaint,James Vorley (Bank A desk),sell spoof order opposite buy genuine iceberg order,15:33:12.415 source-local/Globex timestamp,just under 3 seconds after 15:33:12.415 source-local/Globex timestamp,1 spoof order,110 lots,Official CFTC complaint describes a 110-lot sell spoof order placed three ticks from best offer opposite Vorley's buy genuine iceberg order; it was cancelled after the genuine order filled.,cftc_vorley_chanu_20130128_gold_example,regular_source_time,cftc_vorley_chanu_20130128_gold_sell_spoof_order
positive_spoofing_layering,"CFTC Complaint: James Vorley and Cedric Chanu, Case 1:18-cv-00603","Paragraphs 45-49, May 23 2013 Gold Futures example",2013-05-23,COMEX Gold Futures June delivery,COMEX/CME Globex,CFTC defendants/desk trader; public complaint,Cedric Chanu (Bank A desk),sell spoof order opposite buy genuine iceberg order,01:07:55.630 source-local/Globex timestamp,01:07:57.865 source-local/Globex timestamp,1 spoof order,100 lots,Official CFTC complaint describes a 100-lot sell spoof order two ticks from best offer opposite Chanu's buy genuine iceberg order; the spoof order was cancelled after the genuine order filled.,cftc_vorley_chanu_20130523_gold_example,overnight_source_time,cftc_vorley_chanu_20130523_gold_sell_spoof_order
positive_spoofing_layering,"CFTC Complaint: James Vorley and Cedric Chanu, Case 1:18-cv-00603","Paragraph 33, March 28 2011 Trader A Silver Futures chat example",2011-03-28,COMEX Silver Futures,COMEX/CME Globex,Bank A precious metals desk trader described in official CFTC complaint,Trader A / Bank A,buy spoof orders opposite sell genuine iceberg order,after 10:46:04 p.m. Central Time,10:54:12 p.m. Central Time,21 buy spoof orders,220 lots,Official CFTC complaint describes Trader A placing and canceling twenty-one buy spoof orders after a 20-lot sell iceberg genuine order stalled; the final contract of the sell order filled at 10:54:12 p.m.,cftc_vorley_chanu_20110328_silver_trader_a,overnight_central_time,cftc_vorley_chanu_20110328_silver_buy_spoof_orders
positive_spoofing_layering,"CFTC Complaint: James Vorley and Cedric Chanu, Case 1:18-cv-00603","Paragraph 34, March 16 2011 Vorley Gold Futures example",2011-03-16,COMEX Gold Futures,COMEX/CME Globex,Bank A precious metals desk trader described in official CFTC complaint,James Vorley / Bank A,buy spoof orders opposite sell genuine iceberg order,immediately after 06:03:21 a.m. Central Time,within about five seconds after 06:03:21 a.m. Central Time,12 buy spoof orders,120 lots,Official CFTC complaint describes Vorley placing twelve 10-lot buy spoof orders after a 56-lot sell iceberg genuine order; the spoof orders were cancelled within one to two seconds each while the genuine order continued filling.,cftc_vorley_chanu_20110316_gold_vorley,overnight_central_time,cftc_vorley_chanu_20110316_gold_buy_spoof_orders
positive_spoofing_layering,"CFTC Complaint: James Vorley and Cedric Chanu, Case 1:18-cv-00603","Paragraph 37, November 3 2010 Trader A Gold Futures help example",2010-11-03,COMEX Gold Futures,COMEX/CME Globex,Bank A precious metals desk traders described in official CFTC complaint,James Vorley and Cedric Chanu / Bank A,buy spoof orders opposite Trader A sell genuine iceberg order,not disclosed in public complaint; after Trader A sell order stalled,approximately two seconds after each spoof order placement,29 buy spoof orders,290 lots,Official CFTC complaint describes Vorley and Chanu helping a stalled 400-lot Gold Futures sell iceberg genuine order by placing and cancelling twenty-nine 10-lot buy spoof orders.,cftc_vorley_chanu_20101103_gold_help_trader_a,central_time_not_disclosed,cftc_vorley_chanu_20101103_gold_buy_spoof_orders
