provider,provider_label,branch_id,branch_path,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,material_path,strategy_path,symbol,direction
yfinance/YF,yfinance/YF SPY 1h,ema_rsi_persistence_long_v1,TrendExpansion -> MomentumContinuation -> ema_rsi_persistence -> ema_rsi_persistence_long_v1,TrendExpansion,MomentumContinuation,ema_rsi_persistence,ema_rsi_persistence_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/tmvp-ema_rsi_persistence_long_v1-yfinance-yf-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/EmaRsiPersistenceLongV1.py,SPY,long
Binance,Binance BTCUSDT 1h,compression_breakout_followthrough_long_v1,VolatilityCompression -> MomentumBreakout -> compression_breakout_followthrough -> compression_breakout_followthrough_long_v1,VolatilityCompression,MomentumBreakout,compression_breakout_followthrough,compression_breakout_followthrough_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/tmvp-compression_breakout_followthrough_long_v1-binance-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/CompressionBreakoutFollowthroughLongV1.py,BTC,long
Bybit,Bybit BTCUSDT 1h,compression_breakout_followthrough_long_v1,VolatilityCompression -> MomentumBreakout -> compression_breakout_followthrough -> compression_breakout_followthrough_long_v1,VolatilityCompression,MomentumBreakout,compression_breakout_followthrough,compression_breakout_followthrough_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/tmvp-compression_breakout_followthrough_long_v1-bybit-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/CompressionBreakoutFollowthroughLongV1.py,BTC,long
IBKR,IBKR SPY 1h,compression_breakout_followthrough_long_v1,VolatilityCompression -> MomentumBreakout -> compression_breakout_followthrough -> compression_breakout_followthrough_long_v1,VolatilityCompression,MomentumBreakout,compression_breakout_followthrough,compression_breakout_followthrough_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/tmvp-compression_breakout_followthrough_long_v1-ibkr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/CompressionBreakoutFollowthroughLongV1.py,SPY,long
Kraken,Kraken XBTUSD 1h,compression_breakout_followthrough_long_v1,VolatilityCompression -> MomentumBreakout -> compression_breakout_followthrough -> compression_breakout_followthrough_long_v1,VolatilityCompression,MomentumBreakout,compression_breakout_followthrough,compression_breakout_followthrough_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/tmvp-compression_breakout_followthrough_long_v1-kraken-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/CompressionBreakoutFollowthroughLongV1.py,BTC,long
TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,compression_breakout_followthrough_long_v1,VolatilityCompression -> MomentumBreakout -> compression_breakout_followthrough -> compression_breakout_followthrough_long_v1,VolatilityCompression,MomentumBreakout,compression_breakout_followthrough,compression_breakout_followthrough_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/tmvp-compression_breakout_followthrough_long_v1-tradingviewremix-tvr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/CompressionBreakoutFollowthroughLongV1.py,BTC,long
yfinance/YF,yfinance/YF SPY 1h,compression_breakout_followthrough_long_v1,VolatilityCompression -> MomentumBreakout -> compression_breakout_followthrough -> compression_breakout_followthrough_long_v1,VolatilityCompression,MomentumBreakout,compression_breakout_followthrough,compression_breakout_followthrough_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/tmvp-compression_breakout_followthrough_long_v1-yfinance-yf-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/CompressionBreakoutFollowthroughLongV1.py,SPY,long
Binance,Binance BTCUSDT 1h,momentum_failure_guard_v1,Transition -> ContinuationFailureGuard -> momentum_failure_guard -> momentum_failure_guard_v1,Transition,ContinuationFailureGuard,momentum_failure_guard,momentum_failure_guard_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/tmvp-momentum_failure_guard_v1-binance-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/MomentumFailureGuardV1.py,BTC,short
Bybit,Bybit BTCUSDT 1h,momentum_failure_guard_v1,Transition -> ContinuationFailureGuard -> momentum_failure_guard -> momentum_failure_guard_v1,Transition,ContinuationFailureGuard,momentum_failure_guard,momentum_failure_guard_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/tmvp-momentum_failure_guard_v1-bybit-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/MomentumFailureGuardV1.py,BTC,short
IBKR,IBKR SPY 1h,momentum_failure_guard_v1,Transition -> ContinuationFailureGuard -> momentum_failure_guard -> momentum_failure_guard_v1,Transition,ContinuationFailureGuard,momentum_failure_guard,momentum_failure_guard_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/tmvp-momentum_failure_guard_v1-ibkr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/MomentumFailureGuardV1.py,SPY,short
Kraken,Kraken XBTUSD 1h,momentum_failure_guard_v1,Transition -> ContinuationFailureGuard -> momentum_failure_guard -> momentum_failure_guard_v1,Transition,ContinuationFailureGuard,momentum_failure_guard,momentum_failure_guard_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/tmvp-momentum_failure_guard_v1-kraken-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/MomentumFailureGuardV1.py,BTC,short
TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,momentum_failure_guard_v1,Transition -> ContinuationFailureGuard -> momentum_failure_guard -> momentum_failure_guard_v1,Transition,ContinuationFailureGuard,momentum_failure_guard,momentum_failure_guard_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/tmvp-momentum_failure_guard_v1-tradingviewremix-tvr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/MomentumFailureGuardV1.py,BTC,short
yfinance/YF,yfinance/YF SPY 1h,momentum_failure_guard_v1,Transition -> ContinuationFailureGuard -> momentum_failure_guard -> momentum_failure_guard_v1,Transition,ContinuationFailureGuard,momentum_failure_guard,momentum_failure_guard_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/tmvp-momentum_failure_guard_v1-yfinance-yf-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T193422+0800-codex-trend-momentum-volume-persistence-material-preflight-v1/agent-material/MomentumFailureGuardV1.py,SPY,short
