split_family,split_name,positive_support,negative_support,min_wilson95_lcb,current_pass,positive_rows_needed_to_95,negative_rows_needed_to_95,pair_rows_needed_to_95,guidance
heldout_symbol_exact,"Gold Futures contract, June 2013 expiry",2,2,0.34237195289,False,71,71,71,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,ICE Brent/WTI crude spread April 2020,1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,LME copper futures / COMEX copper futures cross-market example,2,0,0.0,False,71,73,73,avoid adding more of this exact symbol unless both positive and control rows can be brought toward the 95 gate
heldout_symbol_exact,March 2014 E-mini S&P 500 futures,1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,March 2018 Crude Oil futures,4,4,0.510099979596,False,69,69,69,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,March 2018 Silver futures,4,4,0.510099979596,False,69,69,69,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,March-delivery Silver Futures,1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,NGH0-NGJ0 natural gas March-April 2020 calendar spread,3,3,0.438493919551,False,70,70,70,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,"Platinum Futures contract, July 2016 expiry",1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,RBOB gasoline futures,1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,"Silver Futures contract, March 2012 expiry",1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,"Silver Futures contract, March 2013 expiry",1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,"Silver Futures contract, March 2014 expiry",1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,"Silver Futures contract, May 2014 expiry",1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,Soft Red Winter wheat futures,1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,light sweet crude oil futures,1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_venue_exact,CBOT,2,2,0.34237195289,False,71,71,71,only concentrated same-venue row families move this exact-venue gate
heldout_venue_exact,CBOT/CME Globex,4,4,0.510099979596,False,69,69,69,only concentrated same-venue row families move this exact-venue gate
heldout_venue_exact,CME,4,4,0.510099979596,False,69,69,69,only concentrated same-venue row families move this exact-venue gate
heldout_venue_exact,CME Globex,9,9,0.700847246449,False,64,64,64,only concentrated same-venue row families move this exact-venue gate
heldout_venue_exact,CME Group registered futures market (source order),3,3,0.438493919551,False,70,70,70,only concentrated same-venue row families move this exact-venue gate
heldout_venue_exact,COMEX,8,10,0.675584380489,False,65,63,65,only concentrated same-venue row families move this exact-venue gate
heldout_venue_exact,COMEX/CME Globex,29,29,0.883026405534,False,44,44,44,only concentrated same-venue row families move this exact-venue gate
heldout_venue_exact,IFEU electronic market,1,1,0.206543291474,False,72,72,72,only concentrated same-venue row families move this exact-venue gate
heldout_venue_exact,LME and COMEX,2,0,0.0,False,71,73,73,only concentrated same-venue row families move this exact-venue gate
heldout_venue_exact,NYMEX/CME Globex,8,8,0.675584380489,False,65,65,65,only concentrated same-venue row families move this exact-venue gate
heldout_venue_exact,US futures exchange / CFTC complaint,3,3,0.438493919551,False,70,70,70,only concentrated same-venue row families move this exact-venue gate
