slot_id,provider,instrument,timeframe,root,source_id,source_native_scope,crosswalk_layer,crosswalk_decision,acceptance_scope,notes
source-window-crosswalk-v1-0001,yfinance,^GSPC,1m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0020,yfinance,^GSPC,1mo,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0021,yfinance,^GSPC,1mo,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0022,yfinance,SPY,1m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0023,yfinance,SPY,1m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0024,yfinance,SPY,1m,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0025,yfinance,SPY,5m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0026,yfinance,SPY,5m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0027,yfinance,SPY,5m,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0028,yfinance,SPY,15m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0029,yfinance,SPY,15m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0030,yfinance,SPY,15m,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0031,yfinance,SPY,30m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0032,yfinance,SPY,30m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0033,yfinance,SPY,30m,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0034,yfinance,SPY,1h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0035,yfinance,SPY,1h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0036,yfinance,SPY,1h,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0037,yfinance,SPY,4h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0038,yfinance,SPY,4h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0039,yfinance,SPY,4h,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0040,yfinance,SPY,1mo,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0041,yfinance,SPY,1mo,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0042,yfinance,SPY,1mo,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0043,yfinance,ES=F,1m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0044,yfinance,ES=F,1m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0045,yfinance,ES=F,1m,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0046,yfinance,ES=F,5m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0047,yfinance,ES=F,5m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0048,yfinance,ES=F,5m,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0049,yfinance,ES=F,15m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0050,yfinance,ES=F,15m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0051,yfinance,ES=F,15m,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0052,yfinance,ES=F,30m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0053,yfinance,ES=F,30m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0054,yfinance,ES=F,30m,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0055,yfinance,ES=F,1h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0056,yfinance,ES=F,1h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0057,yfinance,ES=F,1h,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0058,yfinance,ES=F,4h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0059,yfinance,ES=F,4h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0060,yfinance,ES=F,4h,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0061,yfinance,ES=F,1mo,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0062,yfinance,ES=F,1mo,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0063,yfinance,ES=F,1mo,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,spx_tradable_proxy; NBER contraction month membership projected as Crisis context; no trade usability claimed.
