regime,taxonomy_role,evidence_layer,scope,gate_or_variety,rule_or_signal,calibration_support,calibration_wilson95_lcb,heldout_time_support,heldout_time_wilson95_lcb,heldout_context_support,heldout_context_wilson95_lcb,min_split_wilson95_lcb,accepted_95,limitations,artifact
Sideways,MainRegimeV2_price_root,1mo_source_consensus_context,same_source_weekly_monthly_axiswise_context,1mo:Sideways,emit only when label_share >= 0.95; validate daily source-label agreement in emitted window,573,0.9594092375,244,0.9529358324,1168,0.9665754996,0.9529358324,True,Same-source timeframe context; not an intraday micro-regime.,docs/experiments/actionable-regime-confidence/runs/20260511T131922-codex-source-consensus-axiswise-timeframe-gate-v1/source-consensus-axiswise/source_consensus_axiswise_timeframe_gate_v1_summary.csv
Crisis,MainRegimeV2_price_root,1mo_source_consensus_context,same_source_weekly_monthly_axiswise_context,1mo:Crisis,emit only when label_share >= 0.95; validate daily source-label agreement in emitted window,507,0.974424233,740,0.9753047546,1212,0.9817351263,0.974424233,True,Same-source timeframe context; not an intraday micro-regime.,docs/experiments/actionable-regime-confidence/runs/20260511T131922-codex-source-consensus-axiswise-timeframe-gate-v1/source-consensus-axiswise/source_consensus_axiswise_timeframe_gate_v1_summary.csv
Bull,MainRegimeV2_price_root,intraday_parent_day_context_attachment,exact_yfinance_intraday_same_source_^GSPC_^DJI,exact_intraday_Bull_accepted_12_rows,same ticker daily MainRegimeV2 root attached to intraday session date as parent-day context,1665,0.9976981284,1135,0.9966268713,6490,0.9994084459,0.9966268713,True,Parent-day context only; not an intraday transition timing signal.,docs/experiments/actionable-regime-confidence/runs/20260511T134756-codex-daily-to-intraday-source-attachment-v1/daily-intraday-attachment/daily_to_intraday_source_attachment_v1_slots.csv
Bear,MainRegimeV2_price_root,intraday_parent_day_context_attachment,exact_yfinance_intraday_same_source_^GSPC_^DJI,exact_intraday_Bear_accepted_12_rows,same ticker daily MainRegimeV2 root attached to intraday session date as parent-day context,125,0.9701846063,293,0.9870588871,1906,0.9979885981,0.9701846063,True,Parent-day context only; not an intraday transition timing signal.,docs/experiments/actionable-regime-confidence/runs/20260511T134756-codex-daily-to-intraday-source-attachment-v1/daily-intraday-attachment/daily_to_intraday_source_attachment_v1_slots.csv
Sideways,MainRegimeV2_price_root,intraday_parent_day_context_attachment,exact_yfinance_intraday_same_source_^GSPC_^DJI,exact_intraday_Sideways_accepted_12_rows,same ticker daily MainRegimeV2 root attached to intraday session date as parent-day context,700,0.9945421532,616,0.9938025139,3928,0.9990229874,0.9938025139,True,Parent-day context only; not an intraday transition timing signal.,docs/experiments/actionable-regime-confidence/runs/20260511T134756-codex-daily-to-intraday-source-attachment-v1/daily-intraday-attachment/daily_to_intraday_source_attachment_v1_slots.csv
Manipulation,direct_event_or_overlay,direct_manipulation_scoped_variety,accepted_95_scoped_direct_event,pump_dump_telegram_event,accepted_95_true; calibration and test Wilson95 LCB >= 0.95; per-regime map records cal/test 0.999735 / 0.999701.,,,,,,,,True,"Event-confirmed suppression/cooldown signal only; does not cover spoofing, layering, quote stuffing, or order-book behavior.",docs/experiments/actionable-regime-confidence/runs/20260511T045102-codex-mehrnoom-telegram-direct-manipulation-gate/direct-event-gate/mehrnoom_telegram_direct_manipulation_gate_report.md
Manipulation,direct_event_or_overlay,direct_manipulation_scoped_variety,accepted_95_scoped_direct_order_lifecycle,dex_self_trade_order_lifecycle,candidate_rows=22671; positive_self_trade_rows=12671; negative_control_rows=10000; calibration/test Wilson95 LCB 0.998671 / 0.998675; accepted direct Manipulation 95 true.,,,,,,,,True,Bounded DEX self-trade/wash-trade slice only; not spoofing/layering/quote stuffing.,docs/experiments/actionable-regime-confidence/runs/20260511T101019-codex-zenodo-dex-selftrade-direct-gate/direct-gate/zenodo_dex_selftrade_direct_gate_report.md
Manipulation,direct_event_or_overlay,direct_manipulation_scoped_variety,accepted_95_scoped_direct_order_lifecycle_context,dex_consecutive_self_trade_order_lifecycle,rows_streamed=200000; positive_self_trade_rows=12671; negative_control_rows=187329; min calibration/test positive-or-negative Wilson95 LCB 0.979218; accepted 95 context slice.,,,,,,,,True,Confirms bounded self-trade context; still not full direct Manipulation variety coverage.,docs/experiments/actionable-regime-confidence/runs/20260511T102332-codex-zenodo-dex-consecutive-selftrade-gate/direct-gate/zenodo_dex_consecutive_selftrade_gate.md
Manipulation,direct_event_or_overlay,direct_manipulation_scoped_variety,accepted_95_scoped_direct_onchain_wash,midsummer_bsc_wash_maker,positive_rows=1870; negative_control_rows=2994; minimum split/class Wilson95 LCB 0.995736; accepted gate accepted_95_bounded_bsc_meme_wash_maker_direct_slice.,,,,,,,,True,BSC wash-maker only; not centralized spoofing/layering/quote stuffing.,docs/experiments/actionable-regime-confidence/runs/20260511T111122-codex-midsummer-meme-direct-wash-audit/midsummer-meme-audit/midsummer_meme_direct_wash_audit.md
Manipulation,direct_event_or_overlay,direct_manipulation_scoped_variety,accepted_95_scoped_direct_onchain_wash,midsummer_multichain_wash_maker,"new accepted platform count=3; accepted direct Manipulation rows added=5693; per-platform min LCBs base 0.98008, ethereum 0.967945, solana 0.998285.",,,,,,,,True,Direct on-chain wash-maker evidence only; full manipulation class remains incomplete.,docs/experiments/actionable-regime-confidence/runs/20260511T112642-codex-midsummer-chain-slice-expansion-audit/chain-slice-audit/midsummer_chain_slice_expansion_audit.md
